Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Greece,300,849,3.5,8.2,0.44
"France, Guadeloupe",312,20,2.4,5.0,0.31
Guam,316,2,0.82,1.2,0.17
Guatemala,320,88,0.61,0.47,0.07
Guinea,324,64,0.93,0.46,0.10
Guyana,328,11,1.3,1.4,0.18
Haiti,332,92,0.98,0.79,0.10
Honduras,340,268,3.5,2.6,0.44
Hungary,348,815,4.5,8.5,0.58
Iceland,352,8,1.1,2.3,0.18
India,356,35 855,2.5,2.6,0.31
Indonesia,360,4 000,1.4,1.4,0.16
Iran (Islamic Republic of),364,2 762,3.0,3.2,0.38
Iraq,368,544,2.4,1.3,0.29
Ireland,372,203,2.3,4.0,0.29
Israel,376,195,1.6,2.2,0.20
Italy,380,4 275,2.9,7.1,0.36
Côte d'Ivoire,384,137,1.0,0.49,0.12
Jamaica,388,59,1.5,2.0,0.17
Japan,392,5 156,1.4,4.1,0.18
Kazakhstan,398,505,2.3,2.6,0.29
Jordan,400,233,3.1,2.3,0.37
Kenya,404,366,1.3,0.65,0.17
Korea (Democratic People Republic of),408,581,1.5,2.2,0.20
Republic of Korea,410,1 256,1.1,2.5,0.15
Kuwait,414,47,1.4,1.1,0.16
Kyrgyzstan,417,80,1.4,1.2,0.21
Lao People's Democratic Republic,418,74,1.3,0.99,0.16
Lebanon,422,165,2.2,2.5,0.27
Lesotho,426,11,0.69,0.51,0.08
Latvia,428,109,2.9,5.9,0.39
Liberia,430,27,0.87,0.51,0.10
Libya,434,172,3.0,2.4,0.34
Lithuania,440,190,3.6,7.1,0.47
Luxembourg,442,23,2.1,3.6,0.30
Madagascar,450,114,0.68,0.39,0.08
Malawi,454,61,0.69,0.30,0.08
Malaysia,458,624,1.7,1.9,0.20
Maldives,462,5,1.3,0.92,0.17
Mali,466,78,0.82,0.36,0.10
Malta,470,24,2.5,5.4,0.32
"France, Martinique",474,8,0.89,2.1,0.11
Mauritania,478,18,0.65,0.37,0.08
Mauritius,480,35,1.7,2.8,0.22
Mexico,484,1 139,0.75,0.87,0.09
Mongolia,496,35,1.2,1.0,0.15
Moldova,498,337,5.5,8.4,0.67
Montenegro,499,49,4.0,7.8,0.50
Morocco,504,1 195,2.8,3.2,0.35
Mozambique,508,76,0.42,0.23,0.05
Oman,512,41,1.2,0.77,0.14
Namibia,516,36,2.4,1.4,0.33
Nepal,524,458,1.8,1.5,0.22
The Netherlands,528,660,1.7,3.8,0.22
New Caledonia,540,10,2.6,3.4,0.37
Vanuatu,548,4,1.6,1.2,0.14
New Zealand,554,132,1.4,2.7,0.18
Nicaragua,558,79,1.3,1.2,0.17
Niger,562,68,0.59,0.26,0.07
Nigeria,566,838,0.79,0.39,0.10
Norway,578,115,0.98,2.1,0.12
Pakistan,586,3 987,2.4,1.7,0.29
Panama,591,41,0.68,0.92,0.08
Papua New Guinea,598,121,2.1,1.3,0.22
Paraguay,600,121,1.8,1.7,0.21
Peru,604,248,0.58,0.74,0.07
Philippines,608,1 932,2.0,1.7,0.25
Poland,616,2 983,4.3,7.9,0.53
Portugal,620,726,3.5,7.2,0.43
Guinea-Bissau,624,3,0.32,0.15,0.04
Timor-Leste,626,6,0.65,0.44,0.09
Puerto Rico,630,127,1.9,4.5,0.25
Qatar,634,18,0.76,0.60,0.11
"France, La Réunion",638,40,2.8,4.4,0.34
Romania,642,1 804,5.1,9.5,0.63
Russian Federation,643,7 172,2.9,4.9,0.37
Rwanda,646,70,0.93,0.51,0.13
Saint Lucia,662,3,1.1,1.6,0.12
Sao Tome and Principe,678,2,1.6,0.88,0.18
Saudi Arabia,682,219,0.76,0.61,0.09
Senegal,686,59,0.65,0.33,0.08
Serbia,688,637,4.1,7.4,0.49
Sierra Leone,694,0,0.00,0.00,0.00
Singapore,702,176,1.5,3.0,0.18
Slovakia,703,299,3.0,5.5,0.39
Viet Nam,704,2 186,1.8,2.2,0.21
Slovenia,705,123,2.8,5.9,0.37
Somalia,706,89,1.2,0.53,0.14
South Africa,710,991,1.9,1.6,0.24
Zimbabwe,716,89,1.2,0.58,0.16
Spain,724,3 042,3.1,6.5,0.40
South Sudan,728,61,0.99,0.53,0.12
Sudan,729,302,1.1,0.66,0.13
Suriname,740,6,0.83,1.0,0.06
Eswatini,748,2,0.27,0.17,0.03
Sweden,752,160,0.69,1.6,0.09
Switzerland,756,231,1.3,2.6,0.17
Syrian Arab Republic,760,427,2.9,2.2,0.34
Tajikistan,762,20,0.31,0.20,0.03
Thailand,764,1 694,1.3,2.4,0.16
Togo,768,55,1.2,0.63,0.14
Trinidad and Tobago,780,29,1.3,2.1,0.13
United Arab Emirates,784,54,1.4,0.54,0.16
Tunisia,788,484,3.1,4.0,0.39
Türkiye,792,3 972,3.8,4.6,0.47
Turkmenistan,795,65,1.2,1.1,0.15
Uganda,800,243,1.4,0.50,0.17
Ukraine,804,2 592,3.5,6.0,0.44
North Macedonia,807,120,3.4,5.8,0.41
Egypt,818,1 814,2.1,1.7,0.26
United Kingdom,826,2 335,1.7,3.4,0.21
"Tanzania, United Republic of",834,267,0.96,0.42,0.11
United States of America,840,12 172,2.0,3.6,0.25
Burkina Faso,854,90,0.87,0.41,0.13
Uruguay,858,177,3.1,5.1,0.40
Uzbekistan,860,154,0.48,0.45,0.06
Venezuela,862,779,2.3,2.7,0.29
Samoa,882,3,1.8,1.5,0.25
Yemen,887,311,2.0,1.0,0.21
Zambia,894,95,1.1,0.49,0.14
Total,,189 077,1.9,2.4,0.24
