Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Puerto Rico,630,61,0.81,2.2,0.10
Qatar,634,8,0.31,0.27,0.04
"France, La Réunion",638,21,1.4,2.3,0.16
Romania,642,1 088,2.9,5.7,0.36
Russian Federation,643,3 942,1.5,2.7,0.20
Rwanda,646,48,0.64,0.35,0.09
Saint Lucia,662,1,0.45,0.54,0.07
Sao Tome and Principe,678,2,1.6,0.88,0.18
Saudi Arabia,682,113,0.43,0.32,0.05
Senegal,686,38,0.42,0.22,0.05
Serbia,688,377,2.2,4.4,0.26
Sierra Leone,694,0,0.00,0.00,0.00
Singapore,702,62,0.49,1.0,0.05
Slovakia,703,165,1.6,3.0,0.20
Viet Nam,704,1 233,0.98,1.3,0.11
Slovenia,705,42,0.82,2.0,0.10
Somalia,706,69,0.92,0.41,0.12
South Africa,710,519,1.0,0.85,0.13
Zimbabwe,716,59,0.81,0.38,0.11
Spain,724,1 227,1.1,2.6,0.13
South Sudan,728,47,0.78,0.40,0.10
Sudan,729,229,0.85,0.50,0.10
Suriname,740,2,0.29,0.34,0.03
Eswatini,748,2,0.27,0.17,0.03
Sweden,752,78,0.27,0.76,0.03
Switzerland,756,72,0.33,0.82,0.04
Syrian Arab Republic,760,272,1.9,1.4,0.22
Tajikistan,762,18,0.26,0.18,0.03
Thailand,764,937,0.70,1.3,0.08
Togo,768,36,0.82,0.41,0.09
Trinidad and Tobago,780,20,0.84,1.4,0.09
United Arab Emirates,784,27,0.74,0.27,0.09
Tunisia,788,291,1.8,2.4,0.22
Türkiye,792,1 689,1.5,2.0,0.18
Turkmenistan,795,42,0.77,0.68,0.10
Uganda,800,166,0.99,0.34,0.12
Ukraine,804,1 422,1.8,3.3,0.24
North Macedonia,807,75,2.0,3.6,0.24
Egypt,818,1 283,1.5,1.2,0.16
United Kingdom,826,911,0.55,1.3,0.07
"Tanzania, United Republic of",834,180,0.68,0.28,0.07
United States of America,840,3 884,0.57,1.2,0.07
Burkina Faso,854,58,0.56,0.26,0.08
Uruguay,858,127,2.1,3.6,0.27
Uzbekistan,860,101,0.32,0.29,0.04
Venezuela,862,482,1.4,1.7,0.17
Samoa,882,0,0.00,0.00,0.00
Yemen,887,257,1.8,0.82,0.19
Zambia,894,55,0.69,0.28,0.09
Total,,103 295,1.0,1.3,0.12
