Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Nicaragua,558,8,0.23,0.23,0.02
Niger,562,19,0.27,0.15,0.03
Nigeria,566,95,0.16,0.09,0.02
Norway,578,3,0.02,0.11,0.00
Pakistan,586,121,0.14,0.11,0.01
Panama,591,5,0.14,0.22,0.02
Papua New Guinea,598,17,0.51,0.37,0.05
Paraguay,600,0,0.00,0.00,0.00
Peru,604,32,0.13,0.19,0.01
Philippines,608,61,0.11,0.11,0.01
Poland,616,83,0.14,0.43,0.01
Portugal,620,24,0.10,0.45,0.01
Guinea-Bissau,624,1,0.21,0.10,0.03
Timor-Leste,626,0,0.00,0.00,0.00
Puerto Rico,630,9,0.17,0.60,0.02
Qatar,634,0,0.00,0.00,0.00
"France, La Réunion",638,0,0.00,0.00,0.00
Romania,642,31,0.12,0.32,0.01
Russian Federation,643,227,0.13,0.29,0.02
Rwanda,646,4,0.10,0.06,0.01
Saint Lucia,662,0,0.00,0.00,0.00
Sao Tome and Principe,678,0,0.00,0.00,0.00
Saudi Arabia,682,3,0.03,0.02,0.00
Senegal,686,23,0.37,0.25,0.04
Serbia,688,19,0.17,0.43,0.02
Sierra Leone,694,0,0.00,0.00,0.00
Singapore,702,11,0.16,0.39,0.01
Slovakia,703,7,0.10,0.25,0.01
Viet Nam,704,32,0.04,0.06,0.00
Slovenia,705,4,0.08,0.38,0.01
Somalia,706,18,0.42,0.21,0.06
South Africa,710,69,0.23,0.22,0.03
Zimbabwe,716,26,0.51,0.32,0.05
Spain,724,75,0.08,0.32,0.01
South Sudan,728,7,0.22,0.12,0.03
Sudan,729,20,0.13,0.09,0.02
Suriname,740,0,0.00,0.00,0.00
Eswatini,748,3,0.73,0.50,0.07
Sweden,752,13,0.11,0.26,0.01
Switzerland,756,13,0.10,0.29,0.01
Syrian Arab Republic,760,10,0.12,0.10,0.01
Tajikistan,762,0,0.00,0.00,0.00
Thailand,764,79,0.12,0.22,0.01
Togo,768,12,0.47,0.28,0.06
Trinidad and Tobago,780,2,0.15,0.28,0.01
United Arab Emirates,784,0,0.00,0.00,0.00
Tunisia,788,6,0.08,0.10,0.01
Türkiye,792,30,0.04,0.07,0.00
Turkmenistan,795,4,0.14,0.13,0.03
Uganda,800,23,0.22,0.09,0.02
Ukraine,804,78,0.15,0.34,0.02
North Macedonia,807,2,0.11,0.19,0.02
Egypt,818,39,0.09,0.07,0.01
United Kingdom,826,129,0.14,0.37,0.02
"Tanzania, United Republic of",834,72,0.45,0.23,0.05
United States of America,840,404,0.10,0.24,0.01
Burkina Faso,854,22,0.35,0.20,0.04
Uruguay,858,5,0.09,0.28,0.01
Uzbekistan,860,23,0.14,0.13,0.02
Venezuela,862,36,0.19,0.24,0.02
Samoa,882,0,0.00,0.00,0.00
Yemen,887,28,0.32,0.18,0.04
Zambia,894,26,0.57,0.26,0.06
Total,,8 239,0.15,0.21,0.02
