Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Ecuador,218,30,0.28,0.33,0.02
El Salvador,222,10,0.17,0.29,0.01
Equatorial Guinea,226,1,0.14,0.15,0.01
Ethiopia,231,220,0.59,0.36,0.08
Eritrea,232,5,0.47,0.27,0.07
Estonia,233,5,0.34,0.72,0.05
Fiji,242,2,0.46,0.45,0.05
Finland,246,23,0.33,0.82,0.04
France (metropolitan),250,246,0.33,0.73,0.03
French Guyana,254,0,0.00,0.00,0.00
French Polynesia,258,0,0.00,0.00,0.00
Djibouti,262,1,0.22,0.21,0.03
Gabon,266,4,0.46,0.35,0.05
Georgia,268,16,0.32,0.77,0.03
The Republic of the Gambia,270,0,0.00,0.00,0.00
Gaza Strip and West Bank,275,2,0.16,0.08,0.03
Germany,276,592,0.44,1.4,0.05
Ghana,288,22,0.15,0.14,0.01
Greece,300,17,0.14,0.32,0.02
"France, Guadeloupe",312,0,0.00,0.00,0.00
Guam,316,0,0.00,0.00,0.00
Guatemala,320,15,0.19,0.16,0.02
Guinea,324,22,0.46,0.31,0.05
Guyana,328,0,0.00,0.00,0.00
Haiti,332,23,0.49,0.39,0.06
Honduras,340,19,0.45,0.37,0.06
Hungary,348,71,0.52,1.4,0.07
Iceland,352,1,0.27,0.58,0.07
India,356,5 000,0.70,0.74,0.08
Indonesia,360,462,0.30,0.33,0.02
Iran (Islamic Republic of),364,55,0.12,0.13,0.01
Iraq,368,19,0.14,0.09,0.02
Ireland,372,13,0.24,0.51,0.03
Israel,376,20,0.25,0.45,0.03
Italy,380,280,0.29,0.91,0.03
Côte d'Ivoire,384,59,0.79,0.43,0.08
Jamaica,388,6,0.31,0.40,0.03
Japan,392,378,0.19,0.59,0.02
Kazakhstan,398,51,0.40,0.52,0.05
Jordan,400,11,0.28,0.22,0.03
Kenya,404,59,0.36,0.21,0.06
Korea (Democratic People Republic of),408,30,0.14,0.23,0.02
Republic of Korea,410,95,0.17,0.37,0.02
Kuwait,414,0,0.00,0.00,0.00
Kyrgyzstan,417,9,0.28,0.26,0.05
Lao People's Democratic Republic,418,8,0.27,0.21,0.04
Lebanon,422,12,0.27,0.36,0.03
Lesotho,426,3,0.34,0.27,0.03
Latvia,428,13,0.44,1.3,0.05
Liberia,430,10,0.55,0.38,0.06
Libya,434,9,0.28,0.26,0.03
Lithuania,440,13,0.33,0.91,0.04
Luxembourg,442,3,0.28,0.95,0.04
Madagascar,450,54,0.54,0.37,0.05
Malawi,454,85,1.5,0.83,0.19
Malaysia,458,49,0.26,0.30,0.02
Maldives,462,0,0.00,0.00,0.00
Mali,466,37,0.59,0.35,0.07
Malta,470,2,0.23,0.90,0.04
"France, Martinique",474,2,0.27,0.99,0.04
Mauritania,478,8,0.46,0.33,0.05
Mauritius,480,5,0.44,0.77,0.05
Mexico,484,246,0.31,0.37,0.04
Mongolia,496,10,0.63,0.58,0.07
Moldova,498,3,0.07,0.14,0.01
Montenegro,499,2,0.26,0.63,0.06
Morocco,504,66,0.31,0.35,0.04
Mozambique,508,48,0.38,0.28,0.03
Oman,512,4,0.38,0.22,0.05
Namibia,516,12,1.2,0.88,0.14
Nepal,524,36,0.23,0.22,0.02
The Netherlands,528,60,0.30,0.70,0.03
New Caledonia,540,0,0.00,0.00,0.00
Vanuatu,548,0,0.00,0.00,0.00
New Zealand,554,22,0.45,0.88,0.05
Nicaragua,558,15,0.41,0.44,0.03
Niger,562,30,0.42,0.23,0.04
Nigeria,566,173,0.28,0.16,0.03
Norway,578,24,0.44,0.88,0.05
Pakistan,586,252,0.29,0.23,0.03
Panama,591,13,0.45,0.58,0.05
Papua New Guinea,598,19,0.56,0.42,0.06
Paraguay,600,1,0.03,0.03,0.01
Peru,604,100,0.45,0.59,0.06
Philippines,608,121,0.22,0.22,0.02
Poland,616,154,0.27,0.79,0.03
Portugal,620,47,0.27,0.88,0.03
Guinea-Bissau,624,1,0.21,0.10,0.03
Timor-Leste,626,0,0.00,0.00,0.00
Puerto Rico,630,24,0.60,1.6,0.07
Qatar,634,0,0.00,0.00,0.00
"France, La Réunion",638,0,0.00,0.00,0.00
Romania,642,68,0.31,0.70,0.04
Russian Federation,643,533,0.35,0.68,0.04
Rwanda,646,11,0.24,0.16,0.03
Saint Lucia,662,1,0.87,1.1,0.14
Sao Tome and Principe,678,0,0.00,0.00,0.00
Saudi Arabia,682,4,0.04,0.03,0.01
Senegal,686,30,0.48,0.33,0.05
Serbia,688,36,0.36,0.82,0.04
Sierra Leone,694,0,0.00,0.00,0.00
Singapore,702,22,0.38,0.78,0.05
Slovakia,703,17,0.27,0.61,0.04
Viet Nam,704,62,0.09,0.13,0.01
Slovenia,705,12,0.51,1.2,0.05
Somalia,706,26,0.57,0.31,0.08
South Africa,710,230,0.74,0.75,0.08
Zimbabwe,716,46,0.85,0.57,0.08
Spain,724,196,0.26,0.83,0.03
South Sudan,728,9,0.27,0.16,0.04
Sudan,729,49,0.31,0.21,0.04
Suriname,740,1,0.21,0.34,0.00
Eswatini,748,3,0.73,0.50,0.07
Sweden,752,37,0.33,0.73,0.04
Switzerland,756,27,0.24,0.61,0.03
Syrian Arab Republic,760,14,0.17,0.14,0.02
Tajikistan,762,1,0.02,0.02,0.00
Thailand,764,166,0.26,0.46,0.03
Togo,768,17,0.68,0.39,0.08
Trinidad and Tobago,780,6,0.52,0.84,0.07
United Arab Emirates,784,2,0.11,0.06,0.01
Tunisia,788,16,0.19,0.26,0.02
Türkiye,792,90,0.16,0.21,0.02
Turkmenistan,795,7,0.25,0.22,0.03
Uganda,800,43,0.35,0.18,0.03
Ukraine,804,145,0.30,0.63,0.04
North Macedonia,807,4,0.22,0.38,0.03
Egypt,818,95,0.21,0.18,0.03
United Kingdom,826,237,0.34,0.68,0.04
"Tanzania, United Republic of",834,115,0.66,0.36,0.07
United States of America,840,1 436,0.42,0.85,0.05
Burkina Faso,854,29,0.47,0.26,0.06
Uruguay,858,18,0.44,1.0,0.05
Uzbekistan,860,40,0.26,0.23,0.03
Venezuela,862,114,0.64,0.77,0.08
Samoa,882,0,0.00,0.00,0.00
Yemen,887,36,0.41,0.23,0.05
Zambia,894,46,0.97,0.47,0.12
Total,,18 817,0.36,0.48,0.04
