Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
The Republic of the Gambia,270,204,27.4,15.8,2.9
Gaza Strip and West Bank,275,37,2.3,1.4,0.28
Germany,276,2 071,2.3,4.9,0.25
Ghana,288,1 815,16.9,11.4,2.0
Greece,300,260,2.2,5.0,0.24
"France, Guadeloupe",312,16,4.0,7.4,0.44
Guam,316,13,11.2,15.3,1.4
Guatemala,320,973,12.5,10.3,1.4
Guinea,324,1 695,38.9,23.8,4.1
Guyana,328,65,14.9,16.5,1.8
Haiti,332,451,8.6,7.6,0.76
Honduras,340,669,15.6,13.1,1.8
Hungary,348,482,4.8,9.6,0.53
Iceland,352,8,2.7,4.7,0.43
India,356,79 906,11.2,11.8,1.3
Indonesia,360,20 708,13.2,14.9,1.5
Iran (Islamic Republic of),364,743,1.6,1.7,0.18
Iraq,368,216,1.6,1.0,0.19
Ireland,372,89,2.3,3.5,0.24
Israel,376,142,2.2,3.2,0.25
Italy,380,1 156,1.6,3.7,0.17
Côte d'Ivoire,384,1 461,20.4,10.6,2.3
Jamaica,388,236,12.4,15.7,1.4
Japan,392,3 864,2.6,6.0,0.27
Kazakhstan,398,918,7.7,9.3,0.81
Jordan,400,84,2.1,1.7,0.24
Kenya,404,3 591,21.4,12.7,2.4
Korea (Democratic People Republic of),408,1 237,6.8,9.3,0.71
Republic of Korea,410,1 143,2.0,4.5,0.19
Kuwait,414,34,2.0,2.0,0.26
Kyrgyzstan,417,278,8.4,8.2,0.94
Lao People's Democratic Republic,418,200,6.5,5.4,0.73
Lebanon,422,93,2.3,2.8,0.23
Lesotho,426,413,42.3,37.5,4.5
Latvia,428,113,6.0,11.4,0.67
Liberia,430,478,28.3,18.1,3.1
Libya,434,169,5.1,4.8,0.56
Lithuania,440,191,6.8,13.4,0.73
Luxembourg,442,10,1.7,3.2,0.19
Madagascar,450,2 690,30.0,18.4,3.3
Malawi,454,3 340,54.1,32.7,5.8
Malaysia,458,1 018,5.5,6.3,0.57
Maldives,462,26,12.9,12.8,1.4
Mali,466,1 431,26.1,13.4,2.9
Malta,470,6,1.4,2.7,0.15
"France, Martinique",474,14,2.5,6.9,0.29
Mauritania,478,302,19.5,12.4,2.2
Mauritius,480,67,5.7,10.4,0.60
Mexico,484,4 909,6.2,7.3,0.67
Mongolia,496,156,9.6,9.1,1.1
Moldova,498,236,7.2,11.3,0.78
Montenegro,499,32,6.3,10.1,0.68
Morocco,504,1 468,6.6,7.7,0.81
Mozambique,508,4 000,36.9,23.5,3.8
Oman,512,56,4.5,3.1,0.54
Namibia,516,203,20.5,15.0,2.2
Nepal,524,1 313,8.7,8.1,0.97
The Netherlands,528,275,1.7,3.2,0.17
New Caledonia,540,16,8.0,11.0,0.76
Vanuatu,548,18,13.6,11.3,1.4
New Zealand,554,63,1.5,2.5,0.15
Nicaragua,558,345,9.9,10.0,1.1
Niger,562,440,7.1,3.4,0.79
Nigeria,566,7 093,14.3,6.6,1.6
Norway,578,104,1.7,3.8,0.17
Pakistan,586,3 069,3.6,2.8,0.41
Panama,591,192,7.1,8.6,0.73
Papua New Guinea,598,686,19.9,15.1,2.1
Paraguay,600,601,16.7,16.7,1.7
Peru,604,2 545,12.1,15.0,1.3
Philippines,608,4 380,8.0,7.8,0.92
Poland,616,2 188,5.2,11.3,0.60
Portugal,620,459,3.5,8.6,0.33
Guinea-Bissau,624,157,25.9,14.9,2.9
Timor-Leste,626,37,7.9,5.5,0.90
Puerto Rico,630,100,3.4,6.7,0.36
Qatar,634,13,3.2,1.7,0.34
"France, La Réunion",638,39,5.1,8.3,0.57
Romania,642,1 793,9.3,18.3,1.1
Russian Federation,643,7 903,6.4,10.1,0.67
Rwanda,646,609,13.8,8.8,1.6
Saint Lucia,662,13,10.4,13.8,1.4
Sao Tome and Principe,678,10,13.7,8.8,1.6
Saudi Arabia,682,164,1.3,1.1,0.15
Senegal,686,1 327,23.7,14.7,2.6
Serbia,688,505,6.3,11.4,0.72
Sierra Leone,694,292,10.9,7.0,1.2
Singapore,702,153,2.8,5.4,0.30
Slovakia,703,276,5.2,9.9,0.59
Viet Nam,704,2 571,3.8,5.2,0.46
Slovenia,705,61,2.4,5.9,0.27
Somalia,706,919,21.8,10.9,2.5
South Africa,710,5 976,19.0,19.4,2.0
Zimbabwe,716,2 318,47.9,28.9,5.4
Spain,724,802,1.6,3.4,0.17
South Sudan,728,593,17.6,10.2,2.1
Sudan,729,738,5.2,3.2,0.60
Suriname,740,43,12.4,14.5,1.5
Eswatini,748,269,64.3,44.8,6.9
Sweden,752,238,2.0,4.7,0.20
Switzerland,756,99,1.1,2.2,0.11
Syrian Arab Republic,760,106,1.3,1.1,0.17
Tajikistan,762,159,4.1,3.2,0.43
Thailand,764,4 576,6.9,12.7,0.79
Togo,768,334,13.3,7.7,1.6
Trinidad and Tobago,780,122,11.2,17.1,1.2
United Arab Emirates,784,69,3.5,2.2,0.43
Tunisia,788,210,2.6,3.5,0.32
Türkiye,792,1 203,2.0,2.8,0.22
Turkmenistan,795,279,8.9,8.9,1.0
Uganda,800,4 782,40.6,19.5,4.6
Ukraine,804,2 598,7.0,11.2,0.76
North Macedonia,807,61,3.5,5.9,0.41
Egypt,818,820,1.8,1.6,0.21
United Kingdom,826,1 154,2.0,3.3,0.20
"Tanzania, United Republic of",834,6 832,42.2,21.6,4.6
United States of America,840,5 932,2.2,3.5,0.23
Burkina Faso,854,775,13.0,7.0,1.6
Uruguay,858,160,5.2,8.9,0.53
Uzbekistan,860,1 585,9.2,9.2,1.1
Venezuela,862,2 246,12.5,15.1,1.3
Samoa,882,6,7.4,6.2,0.73
Yemen,887,153,1.6,0.99,0.19
Zambia,894,2 285,49.4,23.3,5.5
Total,,348 709,7.1,8.9,0.79
