Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Sao Tome and Principe,678,0,0.00,0.00,0.00
Saudi Arabia,682,40,0.13,0.11,0.01
Senegal,686,48,0.47,0.27,0.05
Serbia,688,51,0.23,0.59,0.03
Sierra Leone,694,3,0.04,0.04,0.00
Singapore,702,19,0.16,0.32,0.02
Slovakia,703,71,0.58,1.3,0.07
Viet Nam,704,287,0.22,0.29,0.02
Slovenia,705,3,0.04,0.14,0.00
Somalia,706,35,0.40,0.21,0.04
South Africa,710,224,0.37,0.37,0.04
Zimbabwe,716,55,0.64,0.36,0.07
Spain,724,165,0.14,0.35,0.02
South Sudan,728,23,0.33,0.20,0.04
Sudan,729,22,0.07,0.05,0.01
Suriname,740,0,0.00,0.00,0.00
Eswatini,748,6,0.76,0.51,0.08
Sweden,752,59,0.23,0.58,0.03
Switzerland,756,65,0.26,0.74,0.03
Syrian Arab Republic,760,10,0.07,0.05,0.01
Tajikistan,762,23,0.37,0.23,0.05
Thailand,764,126,0.09,0.18,0.01
Togo,768,32,0.59,0.37,0.08
Trinidad and Tobago,780,4,0.20,0.28,0.02
United Arab Emirates,784,5,0.15,0.05,0.03
Tunisia,788,42,0.25,0.35,0.03
Türkiye,792,73,0.07,0.09,0.01
Turkmenistan,795,19,0.35,0.31,0.02
Uganda,800,80,0.42,0.17,0.04
Ukraine,804,159,0.19,0.37,0.02
North Macedonia,807,0,0.00,0.00,0.00
Egypt,818,161,0.18,0.15,0.02
United Kingdom,826,638,0.40,0.93,0.05
"Tanzania, United Republic of",834,353,1.2,0.56,0.13
United States of America,840,1 690,0.25,0.50,0.03
Burkina Faso,854,86,0.65,0.39,0.06
Uruguay,858,19,0.24,0.54,0.02
Uzbekistan,860,95,0.30,0.28,0.04
Venezuela,862,86,0.25,0.29,0.03
Samoa,882,0,0.00,0.00,0.00
Yemen,887,17,0.10,0.05,0.01
Zambia,894,43,0.36,0.22,0.03
Total,,22 035,0.21,0.28,0.02
