Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Jamaica,388,23,0.64,0.77,0.08
Japan,392,2 876,0.97,2.3,0.12
Kazakhstan,398,150,0.67,0.78,0.08
Jordan,400,10,0.14,0.10,0.02
Kenya,404,87,0.32,0.15,0.04
Korea (Democratic People Republic of),408,82,0.21,0.32,0.03
Republic of Korea,410,789,0.77,1.5,0.10
Kuwait,414,5,0.10,0.11,0.01
Kyrgyzstan,417,19,0.35,0.28,0.04
Lao People's Democratic Republic,418,35,0.58,0.47,0.07
Lebanon,422,7,0.10,0.10,0.01
Lesotho,426,6,0.39,0.28,0.06
Latvia,428,73,2.3,4.0,0.28
Liberia,430,4,0.11,0.08,0.01
Libya,434,8,0.17,0.11,0.02
Lithuania,440,110,2.3,4.1,0.28
Luxembourg,442,8,0.77,1.3,0.12
Madagascar,450,193,0.99,0.66,0.11
Malawi,454,1,0.01,0.00,0.00
Malaysia,458,153,0.41,0.46,0.04
Maldives,462,0,0.00,0.00,0.00
Mali,466,31,0.29,0.14,0.03
Malta,470,5,0.49,1.1,0.07
"France, Martinique",474,12,1.5,3.2,0.19
Mauritania,478,6,0.22,0.12,0.03
Mauritius,480,15,0.75,1.2,0.09
Mexico,484,415,0.27,0.32,0.03
Mongolia,496,16,0.51,0.47,0.05
Moldova,498,206,3.4,5.1,0.41
Montenegro,499,9,0.91,1.4,0.12
Morocco,504,110,0.25,0.29,0.03
Mozambique,508,110,0.53,0.33,0.05
Oman,512,10,0.22,0.19,0.02
Namibia,516,20,1.3,0.76,0.16
Nepal,524,64,0.25,0.21,0.03
The Netherlands,528,432,1.2,2.5,0.16
New Caledonia,540,9,2.3,3.1,0.30
Vanuatu,548,0,0.00,0.00,0.00
New Zealand,554,98,1.3,2.0,0.15
Nicaragua,558,28,0.45,0.41,0.06
Niger,562,30,0.21,0.12,0.02
Nigeria,566,260,0.18,0.12,0.02
Norway,578,153,1.7,2.8,0.21
Pakistan,586,1 065,0.62,0.46,0.06
Panama,591,41,0.69,0.92,0.08
Papua New Guinea,598,97,1.5,1.0,0.21
Paraguay,600,148,2.3,2.0,0.27
Peru,604,202,0.50,0.60,0.05
Philippines,608,560,0.56,0.50,0.07
Poland,616,1 699,2.6,4.5,0.32
Portugal,620,570,3.0,5.6,0.36
Guinea-Bissau,624,0,0.00,0.00,0.00
Timor-Leste,626,0,0.00,0.00,0.00
Puerto Rico,630,96,1.7,3.4,0.21
Qatar,634,4,0.15,0.13,0.02
"France, La Réunion",638,44,3.3,4.9,0.39
Romania,642,1 569,4.9,8.2,0.58
Russian Federation,643,4 437,1.9,3.0,0.23
Rwanda,646,32,0.39,0.24,0.05
Saint Lucia,662,2,0.85,1.1,0.08
Sao Tome and Principe,678,0,0.00,0.00,0.00
Saudi Arabia,682,21,0.07,0.06,0.01
Senegal,686,19,0.20,0.11,0.02
Serbia,688,157,1.1,1.8,0.13
Sierra Leone,694,0,0.00,0.00,0.00
Singapore,702,70,0.61,1.2,0.07
Slovakia,703,458,5.1,8.4,0.60
Viet Nam,704,700,0.58,0.71,0.07
Slovenia,705,99,2.6,4.8,0.32
Somalia,706,19,0.24,0.11,0.03
South Africa,710,464,0.86,0.76,0.10
Zimbabwe,716,21,0.25,0.14,0.03
Spain,724,1 103,1.2,2.4,0.16
South Sudan,728,17,0.26,0.15,0.03
Sudan,729,38,0.13,0.08,0.01
Suriname,740,2,0.29,0.34,0.01
Eswatini,748,2,0.27,0.17,0.05
Sweden,752,239,1.4,2.3,0.17
Switzerland,756,340,2.0,3.9,0.26
Syrian Arab Republic,760,16,0.11,0.08,0.02
Tajikistan,762,23,0.39,0.23,0.04
Thailand,764,1 052,0.89,1.5,0.10
Togo,768,39,0.80,0.45,0.10
Trinidad and Tobago,780,15,0.79,1.1,0.08
United Arab Emirates,784,12,0.16,0.12,0.02
Tunisia,788,34,0.22,0.28,0.03
Türkiye,792,242,0.24,0.28,0.03
Turkmenistan,795,51,0.96,0.82,0.12
Uganda,800,107,0.55,0.22,0.06
Ukraine,804,1 430,2.0,3.3,0.24
North Macedonia,807,15,0.41,0.72,0.05
Egypt,818,182,0.20,0.17,0.02
United Kingdom,826,2 931,2.6,4.3,0.32
"Tanzania, United Republic of",834,97,0.30,0.15,0.04
United States of America,840,14 280,2.6,4.3,0.32
Burkina Faso,854,23,0.21,0.10,0.02
Uruguay,858,60,1.2,1.7,0.15
Uzbekistan,860,200,0.64,0.58,0.08
Venezuela,862,369,1.1,1.3,0.14
Samoa,882,0,0.00,0.00,0.00
Yemen,887,45,0.25,0.14,0.02
Zambia,894,23,0.28,0.12,0.03
Total,,106 362,1.1,1.4,0.13
