Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Lao People's Democratic Republic,418,122,2.3,1.6,0.21
Lebanon,422,41,0.51,0.61,0.06
Lesotho,426,22,1.4,1.0,0.17
Latvia,428,99,2.7,5.4,0.33
Liberia,430,28,0.87,0.53,0.09
Libya,434,30,0.51,0.43,0.06
Lithuania,440,157,3.1,5.9,0.37
Luxembourg,442,3,0.25,0.47,0.02
Madagascar,450,254,1.6,0.87,0.17
Malawi,454,117,1.0,0.58,0.13
Malaysia,458,440,1.2,1.3,0.12
Maldives,462,0,0.00,0.00,0.00
Mali,466,186,1.8,0.87,0.21
Malta,470,13,0.89,2.9,0.09
"France, Martinique",474,8,0.66,2.1,0.08
Mauritania,478,32,1.2,0.65,0.14
Mauritius,480,31,1.4,2.4,0.17
Mexico,484,655,0.43,0.50,0.05
Mongolia,496,26,0.98,0.77,0.10
Moldova,498,159,2.5,4.0,0.31
Montenegro,499,11,0.92,1.8,0.11
Morocco,504,386,0.90,1.0,0.09
Mozambique,508,156,0.84,0.47,0.09
Oman,512,31,0.79,0.58,0.09
Namibia,516,53,3.5,2.0,0.38
Nepal,524,497,1.9,1.6,0.24
The Netherlands,528,313,0.68,1.8,0.08
New Caledonia,540,3,0.67,1.0,0.06
Vanuatu,548,4,1.7,1.2,0.15
New Zealand,554,103,0.92,2.1,0.09
Nicaragua,558,25,0.40,0.37,0.05
Niger,562,135,1.2,0.52,0.13
Nigeria,566,959,1.0,0.44,0.11
Norway,578,99,0.72,1.8,0.08
Pakistan,586,10 181,5.9,4.4,0.68
Panama,591,31,0.52,0.70,0.05
Papua New Guinea,598,372,6.1,4.0,0.76
Paraguay,600,53,0.78,0.73,0.09
Peru,604,294,0.68,0.87,0.07
Philippines,608,1 032,1.0,0.92,0.12
Poland,616,1 968,2.6,5.2,0.31
Portugal,620,428,1.8,4.2,0.20
Guinea-Bissau,624,7,0.75,0.34,0.13
Timor-Leste,626,10,1.1,0.73,0.15
Puerto Rico,630,47,0.62,1.7,0.07
Qatar,634,11,0.86,0.37,0.10
"France, La Réunion",638,25,1.6,2.8,0.19
Romania,642,936,2.6,4.9,0.31
Russian Federation,643,5 398,2.2,3.7,0.26
Rwanda,646,56,0.71,0.41,0.09
Saint Lucia,662,2,0.75,1.1,0.08
Sao Tome and Principe,678,0,0.00,0.00,0.00
Saudi Arabia,682,213,0.75,0.59,0.09
Senegal,686,111,1.2,0.63,0.12
Serbia,688,324,1.7,3.7,0.20
Sierra Leone,694,2,0.04,0.02,0.00
Singapore,702,94,0.80,1.6,0.09
Slovakia,703,287,2.9,5.3,0.35
Viet Nam,704,1 279,1.0,1.3,0.12
Slovenia,705,37,0.77,1.8,0.09
Somalia,706,146,1.8,0.87,0.22
South Africa,710,666,1.3,1.1,0.15
Zimbabwe,716,66,0.87,0.43,0.11
Spain,724,1 211,0.99,2.6,0.12
South Sudan,728,88,1.3,0.76,0.15
Sudan,729,262,0.89,0.57,0.09
Suriname,740,8,1.2,1.3,0.14
Eswatini,748,4,0.71,0.34,0.12
Sweden,752,248,0.87,2.4,0.10
Switzerland,756,213,0.97,2.4,0.11
Syrian Arab Republic,760,136,0.90,0.70,0.11
Tajikistan,762,54,0.86,0.54,0.09
Thailand,764,2 418,1.8,3.5,0.19
Togo,768,45,0.94,0.52,0.10
Trinidad and Tobago,780,23,1.0,1.6,0.11
United Arab Emirates,784,39,0.94,0.39,0.08
Tunisia,788,135,0.84,1.1,0.09
Türkiye,792,551,0.48,0.64,0.05
Turkmenistan,795,94,1.7,1.5,0.21
Uganda,800,293,1.6,0.60,0.18
Ukraine,804,1 749,2.3,4.1,0.28
North Macedonia,807,32,0.83,1.5,0.11
Egypt,818,659,0.74,0.62,0.08
United Kingdom,826,1 733,1.1,2.5,0.13
"Tanzania, United Republic of",834,456,1.7,0.72,0.17
United States of America,840,4 155,0.60,1.2,0.07
Burkina Faso,854,166,1.5,0.75,0.19
Uruguay,858,83,1.3,2.4,0.15
Uzbekistan,860,451,1.5,1.3,0.18
Venezuela,862,295,0.84,1.0,0.09
Samoa,882,1,0.64,0.49,0.08
Yemen,887,207,1.3,0.66,0.14
Zambia,894,71,0.90,0.36,0.10
Total,,188 415,1.9,2.4,0.22
