Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Honduras,340,45,0.58,0.44,0.08
Hungary,348,54,0.24,0.56,0.03
Iceland,352,3,0.52,0.87,0.08
India,356,5 175,0.36,0.37,0.04
Indonesia,360,790,0.28,0.28,0.03
Iran (Islamic Republic of),364,240,0.26,0.28,0.03
Iraq,368,41,0.16,0.10,0.02
Ireland,372,68,0.78,1.4,0.09
Israel,376,42,0.32,0.47,0.04
Italy,380,1 531,1.0,2.5,0.12
Côte d'Ivoire,384,91,0.53,0.33,0.06
Jamaica,388,26,0.65,0.87,0.07
Japan,392,1 091,0.29,0.87,0.03
Kazakhstan,398,57,0.25,0.30,0.03
Jordan,400,21,0.27,0.20,0.03
Kenya,404,242,0.87,0.43,0.09
Korea (Democratic People Republic of),408,38,0.09,0.15,0.01
Republic of Korea,410,377,0.34,0.73,0.04
Kuwait,414,10,0.16,0.23,0.02
Kyrgyzstan,417,14,0.26,0.21,0.03
Lao People's Democratic Republic,418,11,0.19,0.15,0.02
Lebanon,422,16,0.21,0.24,0.03
Lesotho,426,6,0.33,0.28,0.03
Latvia,428,27,0.66,1.5,0.09
Liberia,430,14,0.40,0.26,0.05
Libya,434,16,0.21,0.23,0.02
Lithuania,440,33,0.47,1.2,0.05
Luxembourg,442,6,0.49,0.93,0.04
Madagascar,450,234,1.4,0.80,0.15
Malawi,454,95,0.85,0.47,0.11
Malaysia,458,99,0.26,0.30,0.03
Maldives,462,0,0.00,0.00,0.00
Mali,466,65,0.61,0.30,0.06
Malta,470,5,0.54,1.1,0.05
"France, Martinique",474,5,0.49,1.3,0.05
Mauritania,478,26,0.84,0.53,0.10
Mauritius,480,6,0.26,0.47,0.04
Mexico,484,348,0.23,0.26,0.02
Mongolia,496,10,0.36,0.30,0.04
Moldova,498,11,0.18,0.27,0.02
Montenegro,499,8,0.66,1.3,0.13
Morocco,504,267,0.62,0.71,0.08
Mozambique,508,134,0.66,0.40,0.07
Oman,512,24,0.69,0.45,0.08
Namibia,516,11,0.67,0.42,0.10
Nepal,524,44,0.15,0.15,0.02
The Netherlands,528,346,1.0,2.0,0.12
New Caledonia,540,2,0.51,0.69,0.06
Vanuatu,548,1,0.36,0.31,0.03
New Zealand,554,73,0.77,1.5,0.09
Nicaragua,558,25,0.41,0.37,0.05
Niger,562,121,0.87,0.46,0.10
Nigeria,566,1 303,1.3,0.60,0.14
Norway,578,103,0.99,1.9,0.12
Pakistan,586,626,0.35,0.27,0.04
Panama,591,17,0.31,0.38,0.04
Papua New Guinea,598,100,1.9,1.1,0.21
Paraguay,600,65,0.95,0.89,0.10
Peru,604,244,0.60,0.72,0.07
Philippines,608,241,0.24,0.21,0.03
Poland,616,502,0.60,1.3,0.07
Portugal,620,203,0.74,2.0,0.09
Guinea-Bissau,624,2,0.21,0.10,0.02
Timor-Leste,626,0,0.00,0.00,0.00
Puerto Rico,630,48,0.75,1.7,0.09
Qatar,634,4,0.22,0.13,0.03
"France, La Réunion",638,10,0.66,1.1,0.08
Romania,642,261,0.65,1.4,0.08
Russian Federation,643,1 366,0.56,0.94,0.06
Rwanda,646,19,0.23,0.14,0.03
Saint Lucia,662,0,0.00,0.00,0.00
Sao Tome and Principe,678,0,0.00,0.00,0.00
Saudi Arabia,682,88,0.28,0.25,0.03
Senegal,686,67,0.66,0.38,0.07
Serbia,688,117,0.61,1.4,0.07
Sierra Leone,694,3,0.04,0.04,0.00
Singapore,702,69,0.60,1.2,0.07
Slovakia,703,116,1.0,2.1,0.12
Viet Nam,704,542,0.44,0.55,0.05
Slovenia,705,13,0.25,0.63,0.03
Somalia,706,43,0.50,0.26,0.05
South Africa,710,501,0.83,0.82,0.09
Zimbabwe,716,86,0.98,0.56,0.10
Spain,724,591,0.60,1.3,0.07
South Sudan,728,32,0.46,0.28,0.06
Sudan,729,50,0.12,0.11,0.01
Suriname,740,2,0.28,0.34,0.02
Eswatini,748,7,0.85,0.59,0.08
Sweden,752,210,1.0,2.1,0.12
Switzerland,756,264,1.4,3.0,0.17
Syrian Arab Republic,760,24,0.16,0.12,0.02
Tajikistan,762,38,0.51,0.38,0.06
Thailand,764,337,0.27,0.48,0.03
Togo,768,41,0.77,0.47,0.10
Trinidad and Tobago,780,17,0.79,1.2,0.09
United Arab Emirates,784,12,0.21,0.12,0.03
Tunisia,788,82,0.52,0.68,0.06
Türkiye,792,260,0.24,0.30,0.03
Turkmenistan,795,40,0.70,0.64,0.07
Uganda,800,116,0.60,0.24,0.07
Ukraine,804,365,0.45,0.85,0.06
North Macedonia,807,13,0.34,0.62,0.04
Egypt,818,346,0.38,0.33,0.04
United Kingdom,826,1 929,1.5,2.8,0.18
"Tanzania, United Republic of",834,556,1.7,0.88,0.19
United States of America,840,9 024,1.5,2.7,0.19
Burkina Faso,854,114,0.84,0.52,0.08
Uruguay,858,61,1.0,1.7,0.12
Uzbekistan,860,247,0.76,0.72,0.09
Venezuela,862,317,0.95,1.1,0.13
Samoa,882,0,0.00,0.00,0.00
Yemen,887,22,0.12,0.07,0.01
Zambia,894,61,0.50,0.31,0.05
Total,,54 306,0.54,0.69,0.06
