Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Ecuador,218,73,0.66,0.81,0.08
El Salvador,222,28,0.48,0.80,0.04
Equatorial Guinea,226,0,0.00,0.00,0.00
Ethiopia,231,483,1.1,0.80,0.11
Eritrea,232,16,1.3,0.88,0.14
Estonia,233,32,1.4,4.6,0.18
Fiji,242,0,0.00,0.00,0.00
Finland,246,140,1.7,5.0,0.19
France (metropolitan),250,1 078,1.1,3.2,0.12
French Guyana,254,0,0.00,0.00,0.00
French Polynesia,258,0,0.00,0.00,0.00
Djibouti,262,3,0.86,0.62,0.15
Gabon,266,2,0.24,0.17,0.02
Georgia,268,63,1.2,3.0,0.14
The Republic of the Gambia,270,1,0.11,0.08,0.01
Gaza Strip and West Bank,275,5,0.35,0.19,0.06
Germany,276,4 633,3.7,10.9,0.40
Ghana,288,70,0.65,0.44,0.07
Greece,300,205,1.0,3.9,0.12
"France, Guadeloupe",312,5,0.66,2.3,0.08
Guam,316,0,0.00,0.00,0.00
Guatemala,320,14,0.20,0.15,0.03
Guinea,324,16,0.40,0.22,0.04
Guyana,328,3,0.67,0.76,0.04
Haiti,332,3,0.06,0.05,0.01
Honduras,340,27,0.59,0.53,0.07
Hungary,348,251,1.6,5.0,0.19
Iceland,352,8,1.9,4.7,0.22
India,356,3 112,0.43,0.46,0.05
Indonesia,360,1 307,0.84,0.94,0.09
Iran (Islamic Republic of),364,48,0.10,0.11,0.01
Iraq,368,28,0.22,0.13,0.03
Ireland,372,73,1.6,2.9,0.18
Israel,376,74,0.85,1.7,0.08
Italy,380,1 728,1.6,5.6,0.19
Côte d'Ivoire,384,34,0.41,0.25,0.05
Jamaica,388,7,0.37,0.47,0.04
Japan,392,1 341,0.49,2.1,0.05
Kazakhstan,398,127,0.92,1.3,0.11
Jordan,400,12,0.32,0.24,0.03
Kenya,404,163,0.94,0.58,0.10
Korea (Democratic People Republic of),408,56,0.26,0.42,0.03
Republic of Korea,410,204,0.35,0.80,0.04
Kuwait,414,2,0.12,0.12,0.02
Kyrgyzstan,417,34,1.0,1.0,0.10
Lao People's Democratic Republic,418,19,0.61,0.51,0.07
Lebanon,422,46,1.1,1.4,0.14
Lesotho,426,27,2.8,2.5,0.28
Latvia,428,53,1.6,5.3,0.19
Liberia,430,4,0.23,0.15,0.04
Libya,434,14,0.45,0.40,0.04
Lithuania,440,46,0.95,3.2,0.12
Luxembourg,442,10,2.0,3.2,0.23
Madagascar,450,206,1.9,1.4,0.18
Malawi,454,94,1.1,0.92,0.11
Malaysia,458,55,0.29,0.34,0.03
Maldives,462,0,0.00,0.00,0.00
Mali,466,46,0.83,0.43,0.09
Malta,470,10,1.4,4.5,0.18
"France, Martinique",474,0,0.00,0.00,0.00
Mauritania,478,13,0.86,0.53,0.09
Mauritius,480,10,0.77,1.6,0.09
Mexico,484,475,0.56,0.71,0.06
Mongolia,496,6,0.42,0.35,0.04
Moldova,498,43,0.95,2.1,0.14
Montenegro,499,2,0.30,0.63,0.05
Morocco,504,206,0.88,1.1,0.10
Mozambique,508,266,2.2,1.6,0.21
Oman,512,1,0.05,0.05,0.00
Namibia,516,19,1.7,1.4,0.18
Nepal,524,25,0.16,0.15,0.02
The Netherlands,528,537,2.6,6.2,0.29
New Caledonia,540,0,0.00,0.00,0.00
Vanuatu,548,0,0.00,0.00,0.00
New Zealand,554,71,1.4,2.9,0.14
Nicaragua,558,18,0.49,0.52,0.06
Niger,562,16,0.24,0.12,0.03
Nigeria,566,1 056,1.9,0.99,0.22
Norway,578,103,1.7,3.8,0.19
Pakistan,586,252,0.30,0.23,0.04
Panama,591,13,0.40,0.58,0.06
Papua New Guinea,598,17,0.44,0.37,0.05
Paraguay,600,39,0.96,1.1,0.09
Peru,604,276,1.2,1.6,0.12
Philippines,608,190,0.35,0.34,0.04
Poland,616,771,1.4,4.0,0.16
Portugal,620,196,0.78,3.7,0.08
Guinea-Bissau,624,1,0.18,0.10,0.05
Timor-Leste,626,0,0.00,0.00,0.00
Puerto Rico,630,35,0.73,2.4,0.08
Qatar,634,0,0.00,0.00,0.00
"France, La Réunion",638,9,0.99,1.9,0.13
Romania,642,472,1.8,4.8,0.22
Russian Federation,643,2 104,1.1,2.7,0.14
Rwanda,646,64,1.4,0.93,0.13
Saint Lucia,662,1,0.92,1.1,0.08
Sao Tome and Principe,678,0,0.00,0.00,0.00
Saudi Arabia,682,16,0.14,0.11,0.01
Senegal,686,38,0.69,0.42,0.07
Serbia,688,136,1.3,3.1,0.16
Sierra Leone,694,0,0.00,0.00,0.00
Singapore,702,38,0.63,1.3,0.07
Slovakia,703,122,1.9,4.4,0.24
Viet Nam,704,188,0.28,0.38,0.03
Slovenia,705,61,1.8,5.9,0.20
Somalia,706,51,1.1,0.60,0.11
South Africa,710,672,2.0,2.2,0.19
Zimbabwe,716,147,2.5,1.8,0.25
Spain,724,925,1.3,3.9,0.15
South Sudan,728,30,0.87,0.52,0.10
Sudan,729,157,1.2,0.68,0.16
Suriname,740,4,1.2,1.4,0.14
Eswatini,748,24,5.1,4.0,0.52
Sweden,752,222,1.7,4.4,0.18
Switzerland,756,142,0.97,3.2,0.11
Syrian Arab Republic,760,45,0.56,0.46,0.07
Tajikistan,762,9,0.30,0.18,0.03
Thailand,764,252,0.37,0.70,0.04
Togo,768,18,0.74,0.41,0.06
Trinidad and Tobago,780,8,0.61,1.1,0.07
United Arab Emirates,784,3,0.10,0.10,0.01
Tunisia,788,50,0.54,0.82,0.05
Türkiye,792,313,0.50,0.72,0.06
Turkmenistan,795,16,0.54,0.51,0.06
Uganda,800,143,1.1,0.58,0.12
Ukraine,804,658,1.1,2.8,0.14
North Macedonia,807,8,0.33,0.77,0.05
Egypt,818,253,0.53,0.48,0.06
United Kingdom,826,1 520,1.9,4.4,0.21
"Tanzania, United Republic of",834,289,1.3,0.91,0.13
United States of America,840,6 228,1.8,3.7,0.21
Burkina Faso,854,41,0.47,0.37,0.04
Uruguay,858,47,1.1,2.6,0.12
Uzbekistan,860,79,0.47,0.46,0.06
Venezuela,862,93,0.49,0.63,0.06
Samoa,882,0,0.00,0.00,0.00
Yemen,887,18,0.24,0.12,0.02
Zambia,894,106,1.7,1.1,0.18
Total,,47 328,0.83,1.2,0.09
