Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Nigeria,566,144,0.12,0.07,0.01
Norway,578,36,0.33,0.65,0.04
Pakistan,586,521,0.30,0.23,0.03
Panama,591,26,0.45,0.58,0.05
Papua New Guinea,598,53,0.85,0.57,0.11
Paraguay,600,51,0.76,0.70,0.10
Peru,604,69,0.15,0.20,0.02
Philippines,608,322,0.32,0.29,0.04
Poland,616,859,1.2,2.3,0.15
Portugal,620,274,1.3,2.7,0.16
Guinea-Bissau,624,0,0.00,0.00,0.00
Timor-Leste,626,0,0.00,0.00,0.00
Puerto Rico,630,62,0.98,2.2,0.12
Qatar,634,0,0.00,0.00,0.00
"France, La Réunion",638,16,1.2,1.8,0.14
Romania,642,722,2.1,3.8,0.26
Russian Federation,643,1 976,0.82,1.4,0.10
Rwanda,646,17,0.22,0.12,0.03
Saint Lucia,662,0,0.00,0.00,0.00
Sao Tome and Principe,678,0,0.00,0.00,0.00
Saudi Arabia,682,17,0.06,0.05,0.01
Senegal,686,12,0.13,0.07,0.02
Serbia,688,98,0.64,1.1,0.08
Sierra Leone,694,0,0.00,0.00,0.00
Singapore,702,47,0.40,0.79,0.05
Slovakia,703,190,2.0,3.5,0.25
Viet Nam,704,372,0.30,0.38,0.04
Slovenia,705,59,1.4,2.8,0.18
Somalia,706,13,0.17,0.08,0.03
South Africa,710,224,0.44,0.37,0.05
Zimbabwe,716,14,0.16,0.09,0.02
Spain,724,589,0.59,1.3,0.08
South Sudan,728,11,0.18,0.09,0.03
Sudan,729,14,0.05,0.03,0.01
Suriname,740,1,0.14,0.17,0.00
Eswatini,748,1,0.15,0.08,0.04
Sweden,752,69,0.30,0.68,0.04
Switzerland,756,120,0.62,1.4,0.08
Syrian Arab Republic,760,11,0.08,0.06,0.01
Tajikistan,762,20,0.33,0.20,0.03
Thailand,764,570,0.44,0.81,0.05
Togo,768,21,0.45,0.24,0.06
Trinidad and Tobago,780,7,0.34,0.50,0.04
United Arab Emirates,784,7,0.11,0.07,0.01
Tunisia,788,18,0.11,0.15,0.02
Türkiye,792,97,0.09,0.11,0.01
Turkmenistan,795,41,0.77,0.66,0.09
Uganda,800,75,0.45,0.15,0.05
Ukraine,804,850,1.2,2.0,0.14
North Macedonia,807,11,0.30,0.53,0.04
Egypt,818,67,0.07,0.06,0.01
United Kingdom,826,1 041,0.78,1.5,0.10
"Tanzania, United Republic of",834,62,0.21,0.10,0.03
United States of America,840,3 339,0.52,1.0,0.07
Burkina Faso,854,14,0.16,0.06,0.02
Uruguay,858,26,0.43,0.74,0.06
Uzbekistan,860,118,0.39,0.34,0.05
Venezuela,862,166,0.49,0.57,0.06
Samoa,882,0,0.00,0.00,0.00
Yemen,887,36,0.21,0.12,0.02
Zambia,894,14,0.18,0.07,0.02
Total,,52 292,0.53,0.66,0.06
