Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Maldives,462,0,0.00,0.00,0.00
Mali,466,6,0.11,0.06,0.02
Malta,470,5,1.3,2.2,0.14
"France, Martinique",474,4,0.88,2.3,0.13
Mauritania,478,0,0.00,0.00,0.00
Mauritius,480,4,0.39,0.64,0.06
Mexico,484,758,1.1,1.2,0.12
Mongolia,496,8,0.67,0.48,0.09
Moldova,498,17,0.62,0.89,0.08
Montenegro,499,2,0.34,0.64,0.06
Morocco,504,7,0.03,0.04,0.00
Mozambique,508,136,1.6,0.84,0.17
Oman,512,1,0.03,0.03,0.00
Namibia,516,16,2.2,1.3,0.21
Nepal,524,174,1.5,1.2,0.19
The Netherlands,528,181,0.86,2.1,0.10
New Caledonia,540,0,0.00,0.00,0.00
Vanuatu,548,1,0.89,0.61,0.00
New Zealand,554,17,0.35,0.71,0.04
Nicaragua,558,42,1.5,1.3,0.16
Niger,562,4,0.08,0.03,0.01
Nigeria,566,23,0.02,0.02,0.00
Norway,578,68,1.2,2.4,0.12
Pakistan,586,318,0.34,0.27,0.04
Panama,591,29,1.0,1.3,0.08
Papua New Guinea,598,44,2.4,0.93,0.07
Paraguay,600,120,3.4,3.2,0.34
Peru,604,281,1.3,1.7,0.11
Philippines,608,157,0.32,0.28,0.04
Poland,616,509,1.4,2.8,0.17
Portugal,620,117,0.98,2.4,0.11
Guinea-Bissau,624,0,0.00,0.00,0.00
Timor-Leste,626,0,0.00,0.00,0.00
Puerto Rico,630,45,1.6,3.4,0.18
Qatar,634,2,0.27,0.09,0.06
"France, La Réunion",638,6,0.81,1.4,0.09
Romania,642,183,1.1,2.0,0.13
Russian Federation,643,785,0.76,1.2,0.09
Rwanda,646,91,2.6,1.4,0.24
Saint Lucia,662,5,3.7,5.5,0.43
Sao Tome and Principe,678,0,0.00,0.00,0.00
Saudi Arabia,682,4,0.03,0.02,0.00
Senegal,686,3,0.04,0.03,0.00
Serbia,688,63,0.76,1.5,0.09
Sierra Leone,694,0,0.00,0.00,0.00
Singapore,702,26,0.45,0.84,0.05
Slovakia,703,46,0.98,1.7,0.12
Viet Nam,704,413,0.74,0.84,0.08
Slovenia,705,14,0.55,1.4,0.06
Somalia,706,3,0.07,0.04,0.01
South Africa,710,360,1.4,1.2,0.15
Zimbabwe,716,112,3.0,1.5,0.33
Spain,724,482,0.85,2.1,0.10
South Sudan,728,25,0.82,0.43,0.09
Sudan,729,20,0.18,0.09,0.03
Suriname,740,4,1.4,1.3,0.21
Eswatini,748,22,6.8,3.8,0.74
Sweden,752,143,1.2,2.8,0.14
Switzerland,756,50,0.46,1.2,0.06
Syrian Arab Republic,760,5,0.08,0.05,0.01
Tajikistan,762,0,0.00,0.00,0.00
Thailand,764,641,1.2,1.9,0.13
Togo,768,3,0.29,0.07,0.00
Trinidad and Tobago,780,9,0.90,1.3,0.10
United Arab Emirates,784,3,0.11,0.04,0.01
Tunisia,788,9,0.12,0.15,0.02
Türkiye,792,18,0.04,0.04,0.00
Turkmenistan,795,0,0.00,0.00,0.00
Uganda,800,316,3.1,1.3,0.35
Ukraine,804,235,0.71,1.2,0.09
North Macedonia,807,12,0.57,1.2,0.07
Egypt,818,11,0.03,0.02,0.00
United Kingdom,826,799,1.2,2.4,0.14
"Tanzania, United Republic of",834,138,1.2,0.44,0.13
United States of America,840,1 671,0.53,1.0,0.06
Burkina Faso,854,0,0.00,0.00,0.00
Uruguay,858,33,1.2,2.0,0.13
Uzbekistan,860,10,0.08,0.06,0.01
Venezuela,862,268,1.7,1.9,0.14
Samoa,882,0,0.00,0.00,0.00
Yemen,887,0,0.00,0.00,0.00
Zambia,894,133,3.0,1.4,0.35
Total,,37 695,0.79,0.95,0.09
